K39 NPEKF NettoA pro Einwohner Kultur + Freizeit;;;;;;;;;
Kurzbeschrieb: Nettoaufwand (Funktion 3) dividiert durch die Einwohnerzahl.




BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SFR];2003 [SFR];2004 [SFR];2005 [SFR];2006 [SFR];2007 [SFR];2008 [SFR];2009 [SFR];2010 [SFR];2011 [SFR]
301;Aarberg;4090.0;243;1;17;;148.57;144.89;177.81;195.51;199.06;187.38;173.27;211.33;230.18;230.77
321;Aarwangen;4214.0;244;2;15;;23.13;29.15;40.68;32.74;36.10;31.13;34.82;56.82;47.48;39.61
561;Adelboden;3583.0;249;10;6;;56.97;72.82;88.13;74.39;83.86;79.96;83.17;80.44;78.15;125.42
401;Aefligen;1036.0;245;6;14;404;12.38;21.23;11.61;15.71;16.25;13.64;18.74;17.13;18.11;17.78
731;Aegerten;1750.0;242;16;14;371;46.79;44.70;45.05;54.20;50.12;53.82;57.85;58.77;75.02;50.80
562;Aeschi b.Sp.;2070.0;249;10;7;;60.83;60.22;61.67;62.49;57.48;59.70;56.26;55.28;75.30;90.49
601;Aeschlen;0.0;246;12;21;;1.65;1.23;1.01;0.82;0.58;0.59;1.57;-4.85;0.00;0.00
951;Affoltern i.E.;1141.0;245;25;19;;0.04;3.70;5.18;3.68;10.27;4.28;3.59;11.66;11.88;3.69
851;Albligen;0.0;246;21;20;;5.96;8.06;6.68;17.69;35.04;26.24;19.85;20.61;14.95;0.00
402;Alchenstorf;570.0;245;6;16;;16.04;17.46;12.81;26.17;28.56;30.91;28.31;47.87;39.32;29.69
630;Allmendingen;515.0;246;12;11;351;32.11;37.77;42.81;45.27;41.09;43.91;46.41;42.49;48.54;50.63
921;Amsoldingen;797.0;247;24;16;;5.00;9.74;11.03;7.93;11.31;4.16;2.39;3.02;2.93;2.89
381;Arch;1542.0;243;5;18;;40.60;17.61;19.73;19.32;22.59;15.82;14.96;18.23;22.32;17.92
602;Arni;955.0;246;12;20;;7.07;7.20;8.27;8.50;10.45;7.03;11.11;10.56;8.78;9.54
971;Attiswil;1298.0;244;26;16;;43.71;40.07;60.00;44.19;46.80;19.99;18.03;20.07;28.56;29.77
322;Auswil;460.0;244;2;19;;7.16;6.84;9.73;9.64;7.25;8.79;12.14;9.78;8.47;7.76
531;Ballmoos;0.0;246;9;21;;12.42;10.61;16.83;14.43;13.50;8.44;8.32;16.79;0.00;0.00
532;Bangerten;158.0;243;9;21;;7.99;10.35;15.92;11.94;4.08;28.32;-0.53;3.46;2.61;38.05
323;Bannwil;676.0;244;2;15;;29.09;32.96;13.13;15.05;12.05;9.33;13.79;13.23;16.53;10.09
302;Bargen;1005.0;243;1;16;;22.04;21.50;26.99;18.12;20.53;20.69;23.02;22.48;27.76;17.27
571;Beatenberg;1126.0;250;11;7;;233.17;149.43;144.24;145.20;146.28;152.76;141.43;128.07;151.07;166.01
732;Bellmund;1490.0;242;16;14;371;53.47;53.80;52.55;56.30;56.47;77.81;59.49;57.84;50.08;48.06
861;Belp;10356.0;246;22;9;351;38.71;45.68;54.44;52.19;50.36;40.76;53.61;58.62;46.99;58.01
862;Belpberg;418.0;246;22;21;;6.95;6.76;7.87;6.44;5.84;7.07;6.64;7.35;7.06;7.01
681;Belprahon;300.0;241;15;15;;62.44;41.11;33.80;38.30;47.62;38.98;45.68;62.24;68.65;67.60
972;Berken;47.0;244;26;22;;-3.62;3.90;3.70;1.83;-2.80;4.57;5.62;4.10;-7.47;14.53
351;Bern;126664.0;246;3;1;351;517.17;519.59;465.50;518.57;532.57;526.18;552.84;638.31;630.94;692.65
973;Bettenhausen;686.0;244;26;15;;19.63;19.55;18.24;22.82;19.15;16.13;20.92;23.95;20.28;29.86
371;Biel;51323.0;242;4;2;371;349.40;373.40;401.92;447.80;452.98;426.55;430.32;376.48;395.95;382.81
603;Biglen;1729.0;246;12;15;;110.21;100.00;111.13;122.00;98.60;104.15;111.41;87.91;114.96;127.72
324;Bleienbach;654.0;244;2;19;;15.10;21.22;21.19;23.71;34.87;24.07;23.85;31.91;28.70;23.83
604;Bleiken b.O.;385.0;246;12;16;;2.55;2.49;0.00;1.89;0.46;1.56;0.59;3.46;2.70;2.42
922;Blumenstein;1182.0;247;24;17;;4.96;5.78;1.95;1.62;-0.83;-0.83;-1.09;1.40;-0.06;5.30
352;Bolligen;6057.0;246;3;11;351;141.02;136.03;120.72;155.50;147.54;154.73;152.88;166.91;147.04;138.20
974;Bollodingen;0.0;244;26;19;;26.26;28.04;29.06;39.44;32.60;77.17;35.38;54.38;80.04;0.00
791;Boltigen;1366.0;248;19;21;;5.06;19.04;17.37;6.05;5.77;21.30;4.97;18.61;17.82;20.45
605;Bowil;1381.0;246;12;19;;59.08;49.50;44.98;46.20;46.55;34.52;33.99;44.07;52.73;44.73
353;Bremgarten b.B.;4210.0;246;3;11;351;63.43;73.62;73.77;72.67;73.86;84.06;88.20;109.48;99.76;101.19
606;Brenzikofen;524.0;246;12;15;;-2.73;3.48;4.83;4.86;5.15;4.05;6.39;4.70;6.85;5.35
573;Brienz;3014.0;250;11;7;;71.51;77.41;80.15;75.20;69.23;81.03;67.50;68.33;82.00;117.18
574;Brienzwiler;511.0;250;11;17;;14.69;15.50;25.99;18.33;17.43;21.28;18.33;14.86;18.59;23.38
733;Brügg;4155.0;242;16;12;371;124.63;131.35;155.59;140.99;71.26;62.33;78.15;66.54;71.04;67.10
491;Brüttelen;577.0;243;8;21;;30.26;32.49;30.67;35.06;35.45;26.59;29.68;33.66;28.24;32.13
923;Buchholterberg;1531.0;247;24;19;;12.80;8.85;16.27;10.25;9.69;13.06;13.13;14.24;19.48;15.18
404;Burgdorf;15549.0;245;6;3;404;266.48;250.68;259.17;244.22;119.33;114.22;116.49;130.77;135.70;156.00
863;Burgistein;1026.0;247;22;16;;4.20;5.05;3.87;4.37;5.56;8.11;8.56;8.28;7.28;8.91
384;Busswil b.B.;0.0;243;5;14;371;24.88;24.66;28.24;19.97;24.66;17.44;30.67;27.20;30.45;0.00
325;Busswil b.M.;201.0;244;2;20;;8.28;10.76;9.43;8.88;27.01;9.33;11.87;10.70;9.99;11.09
403;Bäriswil;1005.0;246;6;11;351;32.45;26.12;13.02;11.27;18.00;44.29;41.14;-23.40;34.48;85.32
533;Bätterkinden;3171.0;245;9;15;;76.07;80.53;79.63;79.73;74.19;72.12;76.71;91.26;85.10;116.11
682;Bévilard;1681.0;241;15;18;;103.75;87.49;103.52;119.15;77.94;93.61;109.97;98.41;117.61;107.29
572;Bönigen;2447.0;250;11;7;;28.75;25.17;25.24;51.61;41.36;35.07;43.47;29.55;34.36;31.92
382;Büetigen;827.0;243;5;15;;36.49;41.07;39.88;41.18;28.50;19.40;27.03;34.24;45.35;69.86
734;Bühl;419.0;243;16;16;;28.31;27.16;30.45;28.59;25.76;29.27;44.90;41.43;42.67;28.81
383;Büren a.A.;3295.0;243;5;17;;111.03;108.49;130.76;127.76;152.37;134.11;158.93;163.01;141.72;181.71
534;Büren z.H.;468.0;246;9;15;;51.06;58.32;112.65;57.51;57.32;-77.63;51.12;59.78;55.93;58.26
683;Champoz;162.0;241;15;21;;32.73;34.86;18.28;20.62;17.90;18.21;157.62;46.90;21.54;39.01
684;Châtelat;113.0;241;15;21;;83.36;19.49;10.61;14.13;-2.83;10.74;47.55;31.04;15.18;69.35
661;Clavaleyres;49.0;246;14;21;;7.86;7.85;9.39;8.00;10.28;19.04;21.72;23.59;88.37;36.79
687;Corcelles;214.0;241;15;15;;35.04;22.39;23.95;20.65;19.18;33.09;32.45;32.29;30.35;35.99
431;Corgémont;1551.0;241;7;18;;29.44;17.41;19.49;23.50;25.89;22.75;39.82;48.56;22.74;49.92
432;Cormoret;495.0;241;7;15;;16.35;17.57;17.17;19.77;22.90;38.98;23.53;39.90;23.93;48.86
433;Cortébert;697.0;241;7;15;;13.91;15.98;16.84;15.09;15.83;21.28;21.51;21.68;21.92;41.32
690;Court;1390.0;241;15;18;;69.21;92.51;92.48;87.43;100.08;82.04;123.77;145.93;94.38;103.85
434;Courtelary;1283.0;241;7;18;;50.09;57.55;36.98;36.81;44.94;44.45;52.61;53.55;82.16;70.90
691;Crémines;550.0;241;15;18;;24.00;27.81;31.36;37.81;43.85;38.56;58.59;49.37;88.27;59.20
535;Deisswil b.M.;97.0;246;9;15;;10.50;9.22;6.25;4.79;4.22;3.84;3.36;5.67;5.70;6.36
536;Diemerswil;199.0;246;9;11;351;10.39;9.06;11.61;9.33;9.33;8.85;10.34;10.31;13.07;83.41
762;Diemtigen;2140.0;249;17;21;;7.27;9.52;16.43;14.30;19.51;18.72;23.26;28.08;28.64;32.37
385;Diessbach b.B.;923.0;243;5;15;;12.83;7.38;14.70;9.27;12.23;6.03;11.89;9.74;14.09;8.69
721;Diesse;443.0;241;13;17;;50.46;47.45;46.48;60.27;45.42;61.58;76.72;59.07;54.85;56.09
386;Dotzigen;1358.0;243;5;15;;34.84;35.52;34.66;35.61;37.21;36.62;30.47;36.92;31.21;24.18
575;Därligen;416.0;250;11;15;;6.25;7.71;10.91;10.34;17.95;7.16;5.12;13.75;13.53;20.83
761;Därstetten;833.0;249;17;19;;44.30;28.17;35.51;27.85;12.68;-14.56;4.55;15.38;1.42;4.30
952;Dürrenroth;1064.0;245;25;21;;5.70;17.34;27.41;13.61;14.69;12.78;16.18;39.77;13.08;16.68
901;Eggiwil;2453.0;245;23;21;;10.53;9.88;12.26;9.17;15.97;10.49;16.73;12.90;14.58;13.71
864;Englisberg;0.0;246;22;8;;9.21;7.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
735;Epsach;341.0;243;16;16;;9.38;26.22;80.79;17.13;40.32;13.72;16.02;19.45;21.02;19.44
953;Eriswil;1347.0;244;25;19;;1.52;2.19;14.62;14.42;2.75;2.70;10.10;10.67;13.00;28.29
924;Eriz;496.0;247;24;21;;24.38;27.17;21.87;31.18;28.01;55.11;27.50;27.41;33.77;25.49
492;Erlach;1278.0;243;8;17;;-215.41;-232.92;-265.58;-105.45;-175.27;-92.60;-66.87;-200.06;-66.29;-112.14
763;Erlenbach i.S.;1695.0;249;17;20;;16.44;11.61;13.31;10.06;9.56;12.90;18.78;30.23;31.70;34.26
405;Ersigen;1589.0;245;6;19;;19.23;20.37;18.56;19.36;18.66;22.86;21.85;22.61;31.41;52.91
692;Eschert;377.0;241;15;19;;13.49;13.02;13.82;11.51;17.39;17.01;16.64;16.77;19.22;16.13
537;Etzelkofen;289.0;246;9;18;;34.30;34.88;50.35;40.64;57.12;55.30;57.56;71.72;60.92;40.08
372;Evilard;2424.0;242;4;5;371;76.07;84.10;88.92;91.04;83.76;111.06;111.83;132.09;148.71;178.03
925;Fahrni;741.0;247;24;20;;6.60;4.98;5.70;1.56;1.53;1.26;1.49;6.04;0.36;1.60
975;Farnern;209.0;244;26;15;;14.96;48.66;14.76;16.38;11.73;22.04;10.68;16.22;-2.19;2.14
662;Ferenbalm;1270.0;246;14;15;;26.22;27.49;26.96;27.05;26.45;36.34;27.86;26.99;28.98;27.08
493;Finsterhennen;501.0;243;8;20;;13.52;16.67;17.04;15.23;19.12;17.39;18.71;17.30;20.88;19.67
926;Forst;0.0;247;24;15;;14.49;12.51;26.49;15.86;20.19;0.00;0.00;0.00;0.00;0.00
948;Forst-Längenbühl;704.0;247;24;19;;0.00;0.00;0.00;0.00;0.00;18.06;18.35;13.13;15.86;12.31
538;Fraubrunnen;1791.0;246;9;11;351;34.44;13.00;43.00;31.26;28.59;45.91;34.99;42.22;58.84;56.29
663;Frauenkappelen;1256.0;246;14;11;351;35.83;19.60;27.74;33.51;27.79;32.86;38.23;40.24;43.51;36.62
607;Freimettigen;424.0;246;12;15;;3.57;7.00;8.86;6.03;6.24;5.85;6.39;7.35;13.16;8.38
563;Frutigen;6703.0;249;10;4;;34.87;32.37;35.43;36.12;35.45;35.47;43.54;40.40;47.16;48.01
781;Gadmen;229.0;250;18;22;;33.55;16.59;21.19;-26.41;-19.51;-17.61;-32.79;-10.85;17.63;21.03
494;Gals;729.0;243;8;20;;24.03;23.78;30.00;23.72;24.10;16.26;23.30;41.44;35.25;54.92
495;Gampelen;791.0;243;8;17;;-65.86;-25.43;-23.28;-27.35;-28.46;-28.37;-24.77;-24.88;-24.81;5.64
865;Gelterfingen;242.0;246;22;21;;10.32;11.90;19.06;12.62;11.68;14.61;12.50;13.13;13.79;13.63
866;Gerzensee;1134.0;246;22;20;;27.99;57.08;37.02;22.52;26.37;26.99;26.05;23.61;21.46;29.05
664;Golaten;303.0;246;14;21;;10.67;12.28;10.63;9.44;4.21;10.05;10.23;10.25;10.72;10.86
326;Gondiswil;724.0;244;2;19;;8.14;7.48;9.14;7.82;13.76;11.05;9.17;9.71;8.48;8.72
976;Graben;291.0;244;26;15;;6.45;14.75;5.31;19.20;8.55;10.63;9.73;17.32;29.23;38.79
539;Grafenried;976.0;246;9;11;351;49.95;51.45;65.89;54.63;77.95;43.41;32.65;36.50;41.80;52.16
694;Grandval;351.0;241;15;18;;23.10;14.55;12.52;17.64;20.62;27.46;30.64;23.49;16.88;31.63
576;Grindelwald;4040.0;250;11;6;;32.49;33.40;42.76;65.31;65.03;74.31;73.14;85.34;83.86;82.69
303;Grossaffoltern;2812.0;243;1;15;;37.02;38.26;37.55;38.55;34.65;36.53;33.16;37.50;41.54;44.40
608;Grosshöchstetten;3289.0;246;12;11;351;70.24;75.35;77.46;90.34;89.74;102.31;158.17;539.85;926.19;197.49
841;Gsteig;986.0;248;20;20;;39.39;68.04;70.07;76.53;69.37;57.22;90.87;76.67;92.64;81.36
577;Gsteigwiler;430.0;250;11;14;;10.84;10.12;11.20;15.05;17.70;14.03;13.95;13.31;24.38;27.27
852;Guggisberg;1585.0;246;21;21;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
665;Gurbrü;245.0;246;14;21;;6.59;21.33;6.06;7.14;1.64;31.11;8.96;8.95;21.03;10.34
867;Gurzelen;798.0;247;22;19;;10.62;10.18;23.45;16.07;9.52;11.56;12.23;10.64;7.58;4.54
327;Gutenburg;0.0;244;2;15;;-2.90;12.81;16.16;20.00;22.24;0.00;0.00;0.00;0.00;0.00
782;Guttannen;321.0;250;18;7;;113.76;126.27;131.72;177.43;161.66;226.60;198.69;187.01;146.03;201.73
578;Gündlischwand;284.0;250;11;17;;21.11;29.63;33.22;18.85;37.75;35.77;26.95;28.80;25.87;43.68
579;Habkern;640.0;250;11;21;;31.69;-0.55;22.50;80.02;90.36;299.72;67.99;77.79;146.49;107.15
736;Hagneck;415.0;243;16;15;;12.73;13.25;20.27;26.10;11.31;16.35;19.60;22.58;16.41;21.33
406;Hasle b.B.;3170.0;245;6;16;;0.16;0.77;-39.27;18.02;18.14;18.07;17.59;21.14;9.38;170.58
783;Hasliberg;1229.0;250;18;6;;44.92;35.53;56.97;62.96;52.82;67.72;46.75;52.57;63.98;66.14
927;Heiligenschwendi;675.0;247;24;7;;21.06;24.73;17.40;27.46;18.91;14.97;28.53;40.62;3.65;36.58
928;Heimberg;6365.0;247;24;12;942;38.29;47.58;46.09;43.32;46.86;12.76;27.76;27.97;26.85;30.53
977;Heimenhausen;1016.0;244;26;15;;16.46;8.72;21.14;21.28;16.44;9.82;73.17;17.99;25.46;24.56
407;Heimiswil;1636.0;245;6;21;;-0.21;3.27;-54.84;7.04;7.22;4.27;5.77;8.38;13.42;9.88
408;Hellsau;192.0;245;6;19;;16.21;12.90;13.11;36.20;-132.62;58.61;30.57;51.40;28.99;32.82
610;Herbligen;551.0;246;12;16;;10.03;9.55;10.46;9.68;10.42;2.84;3.82;4.35;4.87;4.09
978;Hermiswil;96.0;244;26;20;;14.56;14.29;12.91;15.77;12.47;10.47;7.03;10.21;3.47;24.48
737;Hermrigen;262.0;243;16;16;;26.74;28.51;28.26;29.13;25.76;26.97;42.87;31.60;70.53;33.50
979;Herzogenbuchsee;6795.0;244;26;4;;92.56;85.72;121.81;126.75;125.41;157.04;125.89;144.26;159.40;145.93
929;Hilterfingen;3998.0;247;24;13;942;113.82;112.20;108.01;112.73;121.54;126.46;181.17;188.51;170.88;170.03
409;Hindelbank;2094.0;245;6;17;;42.65;35.38;21.56;21.52;19.85;38.92;51.34;43.21;41.29;44.35
580;Hofstetten b.B.;567.0;250;11;17;;13.39;20.24;15.82;9.40;13.80;11.57;13.19;12.85;12.21;17.04
931;Homberg;502.0;247;24;21;;5.81;8.42;3.63;4.41;5.43;7.20;6.68;7.91;6.29;7.08
932;Horrenbach-Buchen;259.0;247;24;21;;18.48;35.01;34.70;36.36;20.86;20.51;37.08;13.16;15.74;19.35
954;Huttwil;4726.0;244;25;18;;117.08;119.28;137.89;128.24;420.42;122.17;105.69;106.13;101.21;108.35
609;Häutligen;239.0;246;12;21;;19.64;20.59;35.39;3.42;7.41;5.94;6.88;-3.67;-2.00;-3.18
410;Höchstetten;258.0;245;6;19;;17.43;21.32;11.61;36.17;51.77;35.07;39.20;70.47;42.60;39.43
930;Höfen;441.0;247;24;16;;16.93;17.37;10.28;8.90;6.35;7.11;8.37;6.48;7.82;8.78
541;Iffwil;409.0;246;9;20;;30.78;26.09;30.87;22.07;27.08;26.90;25.14;30.52;26.14;41.55
980;Inkwil;638.0;244;26;15;;26.87;26.18;22.18;21.22;19.50;19.55;22.06;21.45;23.57;24.87
784;Innertkirchen;886.0;250;18;19;;53.69;75.33;53.26;61.72;64.90;114.30;85.73;66.38;91.48;87.08
496;Ins;3260.0;243;8;20;;108.49;102.78;113.41;118.04;114.90;118.38;282.41;300.12;298.28;273.76
581;Interlaken;5481.0;250;11;6;;56.25;70.05;68.42;65.27;59.23;58.25;79.86;71.29;77.05;79.46
739;Ipsach;3913.0;242;16;13;371;57.71;53.61;60.67;54.40;46.15;52.13;55.47;48.96;55.18;56.15
582;Iseltwald;432.0;250;11;20;;23.54;40.12;50.10;1.52;25.01;-36.81;19.85;148.35;134.66;137.03
362;Ittigen;11006.0;246;3;9;351;76.46;78.96;71.53;75.14;76.73;83.11;87.70;95.72;86.88;87.39
868;Jaberg;258.0;246;22;15;;37.69;47.41;41.48;49.70;44.95;44.41;43.53;45.09;32.32;44.23
540;Jegenstorf;4680.0;246;9;10;351;99.64;88.50;88.87;86.29;75.90;78.08;75.89;66.05;55.40;41.71
738;Jens;681.0;243;16;15;;44.41;44.03;64.43;43.39;43.12;66.56;47.64;48.72;44.24;51.81
304;Kallnach;1563.0;243;1;19;;20.73;20.22;15.15;24.10;16.86;17.74;43.35;33.36;14.29;29.09
564;Kandergrund;810.0;249;10;8;;35.42;27.99;28.95;10.02;11.94;14.65;12.87;11.79;15.06;13.28
565;Kandersteg;1261.0;249;10;6;;182.21;135.92;147.03;150.94;177.44;149.93;158.50;162.22;241.02;206.12
305;Kappelen;1278.0;243;1;19;;18.22;14.17;16.94;15.77;15.45;10.03;28.50;21.44;15.81;15.01
869;Kaufdorf;1034.0;246;22;11;351;11.52;10.58;13.99;13.23;14.55;15.18;15.56;18.72;15.57;17.17
870;Kehrsatz;3964.0;246;22;10;351;34.82;34.46;56.74;57.49;49.91;51.20;50.81;63.57;48.29;44.46
411;Kernenried;449.0;245;6;15;;15.09;14.00;17.16;8.93;25.44;25.28;24.04;10.41;31.20;23.30
871;Kienersrüti;52.0;247;22;21;;5.24;5.18;11.52;7.18;12.89;148.37;31.67;38.23;16.08;-2.54
611;Kiesen;857.0;246;12;15;;31.83;27.48;34.31;33.64;34.66;44.30;38.63;36.02;40.57;123.76
412;Kirchberg;5613.0;245;6;12;404;57.84;56.17;58.61;74.57;70.93;78.24;81.66;87.05;91.80;87.43
872;Kirchdorf;814.0;246;22;20;;24.11;25.33;25.32;26.80;24.11;41.10;30.55;46.63;24.49;46.14
873;Kirchenthurnen;271.0;246;22;15;;15.90;16.37;15.52;18.98;16.62;16.62;16.97;15.92;11.32;14.73
354;Kirchlindach;2815.0;246;3;11;351;47.50;49.47;56.59;66.63;56.63;79.11;68.64;73.21;67.25;71.83
328;Kleindietwil;0.0;244;2;19;;16.04;21.59;20.36;20.41;22.50;22.33;21.75;23.06;22.86;0.00
612;Konolfingen;4739.0;246;12;9;351;74.27;75.70;81.09;87.82;88.78;76.90;89.45;102.91;112.74;125.53
413;Koppigen;2070.0;245;6;17;;49.70;41.44;56.87;53.12;52.27;79.44;64.55;62.79;59.88;80.24
566;Krattigen;989.0;249;10;17;;17.25;12.99;28.75;15.68;19.35;23.11;20.55;34.32;49.11;34.59
414;Krauchthal;2318.0;245;6;15;;25.50;20.72;-36.35;11.56;7.78;19.90;29.77;39.75;38.74;34.49
666;Kriechenwil;410.0;246;14;20;;5.76;6.88;18.97;21.46;5.84;6.26;6.78;13.66;17.55;13.64
355;Köniz;38633.0;246;3;9;351;71.40;70.29;77.47;83.92;85.55;88.42;89.44;100.40;100.21;112.85
435;La Ferrière;545.0;241;7;19;;8.22;8.82;8.00;11.71;13.75;16.03;15.88;16.76;18.74;15.48
436;La Heutte;486.0;241;7;15;;45.26;79.40;44.98;101.77;73.63;51.72;45.02;54.53;65.97;44.10
723;La Neuveville;3559.0;241;13;17;;248.58;318.57;318.10;263.73;280.71;305.13;271.66;337.67;252.99;230.31
722;Lamboing;682.0;241;13;16;;27.77;42.38;37.49;33.92;38.80;42.47;78.83;91.83;62.51;-136.47
613;Landiswil;628.0;246;12;21;;0.91;0.07;0.95;1.38;0.41;0.59;1.14;-5.80;-4.39;-5.16
329;Langenthal;15017.0;244;2;3;;214.28;213.58;201.51;191.37;210.64;201.91;218.35;222.81;236.49;255.25
902;Langnau i.E.;9018.0;245;23;3;;70.24;79.26;81.90;91.44;102.17;116.46;115.22;116.21;136.85;168.23
842;Lauenen;810.0;248;20;21;;73.88;76.50;72.47;85.71;99.38;107.81;114.42;106.94;102.93;103.59
667;Laupen;2830.0;246;14;10;351;107.97;65.80;79.53;57.83;65.71;76.91;82.03;61.77;58.22;93.07
903;Lauperswil;2680.0;245;23;19;;6.14;9.50;7.17;10.18;13.06;9.59;11.77;9.94;14.47;14.34
584;Lauterbrunnen;2741.0;250;11;6;;87.70;59.61;86.26;92.34;81.00;85.12;114.13;117.88;122.69;142.35
330;Leimiswil;0.0;244;2;19;;7.00;7.28;10.37;10.24;10.65;12.34;15.85;14.78;14.80;0.00
585;Leissigen;932.0;250;11;17;;23.78;24.17;28.78;29.29;33.71;25.66;33.20;24.93;31.26;34.39
387;Lengnau;4627.0;242;5;14;;27.42;23.16;23.36;24.50;24.39;36.91;37.70;37.41;40.62;43.48
792;Lenk;2419.0;248;19;6;;51.92;34.50;33.63;48.66;86.06;99.55;114.87;102.80;113.65;110.75
388;Leuzigen;1200.0;243;5;16;;33.84;35.08;42.41;35.09;53.63;33.82;50.10;36.83;51.69;-97.43
740;Ligerz;521.0;242;16;20;;48.15;77.72;75.33;91.52;72.17;59.14;67.03;111.40;24.15;67.17
542;Limpach;359.0;246;9;20;;36.89;30.17;29.23;57.22;49.39;40.10;82.09;67.08;45.76;41.04
614;Linden;1321.0;246;12;19;;6.67;4.56;4.41;4.53;4.47;7.04;7.57;1.04;8.58;6.00
874;Lohnstorf;224.0;246;22;21;;10.15;19.31;18.11;26.31;12.24;11.39;17.25;16.24;19.35;16.77
331;Lotzwil;2462.0;244;2;15;;14.74;26.35;29.13;28.24;30.18;35.54;32.30;33.66;26.09;30.18
696;Loveresse;317.0;241;15;19;;23.30;22.46;27.08;24.81;24.88;28.01;40.16;28.85;38.77;30.87
306;Lyss;13776.0;243;1;3;;174.24;150.90;185.31;148.27;152.38;154.08;200.86;209.92;230.01;223.41
415;Lyssach;1427.0;245;6;12;404;39.04;37.69;38.78;41.16;32.91;44.66;46.37;36.94;39.98;45.74
933;Längenbühl;0.0;247;24;20;;12.87;11.06;20.47;18.64;19.36;0.00;0.00;0.00;0.00;0.00
497;Lüscherz;537.0;243;8;20;;-170.20;-136.88;-130.77;-61.31;-122.47;-108.89;-180.05;-141.85;-101.75;-46.94
586;Lütschental;240.0;250;11;20;;0.70;0.59;0.90;0.89;0.84;0.97;0.77;0.76;0.63;0.58
955;Lützelflüh;4075.0;245;25;19;;97.53;87.54;70.62;80.06;77.42;91.96;109.18;99.96;139.85;137.36
332;Madiswil;3140.0;244;2;20;;68.62;72.84;74.87;90.15;106.29;85.39;95.37;105.63;85.70;75.99
697;Malleray;1970.0;241;15;18;;96.91;105.08;90.82;104.69;65.17;78.27;96.75;85.23;104.04;105.66
